event_type,latitude,longitude,endlatitude,endlongitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,modified_datetime,description,veh_type,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,police_station,closed_datetime,resolved_datetime,gba_identifier,zone,junction
unplanned,13.0008457,77.6813712,13.0008457,77.6813712,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:01:40.182000+00:00,closed,yes,2024-03-14 05:49:58.161494+00:00,woter logging [PERSON] moment ph [PHONE],not_applicable,ORR East 2,High,,,,2024-03-07 18:02:16.983926+00:00,K.R. Pura,2024-03-14 05:49:58.160945+00:00,,Unknown,Unknown,Unknown
unplanned,12.94457,77.5274017,12.94457,77.5274017,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 05:21:06.975000+00:00,closed,yes,2024-01-30 07:35:47.951007+00:00,,private_car,ORR West 1,High,,,,2024-01-30 05:21:50.591304+00:00,Byatarayanapura,,,Unknown,Unknown,MysoreRd-RingRdJunc(Nayandanahallii)
unplanned,12.9995223,77.6827499,12.9995223,77.6827499,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:00:05.020000+00:00,active,yes,2024-03-07 19:34:17.374582+00:00,lorry undar pass woter logging trafick swol moment ph [PHONE],not_applicable,ORR East 2,High,,,,2024-03-07 18:00:57.261528+00:00,Mahadevapura,,,Unknown,Unknown,Unknown
unplanned,13.0418933,77.594705,13.0418933,77.594705,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",others,False,2023-12-26 19:15:28.124000+00:00,closed,yes,2024-03-07 19:10:20.403420+00:00,Starting problem,not_applicable,ORR North 1,High,,,,2023-12-26 19:16:09.549364+00:00,Hebbala,2024-03-07 19:10:20.402869+00:00,,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc
unplanned,12.975285,77.6256902,12.975285,77.6256902,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",pot_holes,False,2024-03-07 19:26:15.604000+00:00,active,yes,2024-03-07 19:32:11.890707+00:00,traffic slow moving and accident happening,not_applicable,Old Madras Road,High,,,,2024-03-07 19:28:21.681907+00:00,Halasur,,,Unknown,Unknown,Unknown
unplanned,13.0633917,77.5933483,13.0633917,77.5933483,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:10:21.930000+00:00,active,yes,2024-03-07 19:11:49.766858+00:00,ಟೈರ್ ಪಂಚರ್,not_applicable,Bellary Road 2,High,,,,2024-03-07 19:11:02.983156+00:00,Kodigehalli,,,Unknown,Unknown,Unknown
unplanned,13.063425,77.5933,13.063425,77.5933,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:11:15.565000+00:00,active,yes,2024-03-07 19:16:44.728097+00:00,tyear blost,not_applicable,Bellary Road 2,High,,,,2024-03-07 19:11:57.171334+00:00,Kodigehalli,,,Unknown,Unknown,Unknown
unplanned,13.0254527,77.6417388,13.0254527,77.6417388,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",others,False,2024-03-07 19:18:29.890000+00:00,active,yes,2024-03-07 19:28:56.872687+00:00,[LOCATION] parked at ring road sir traffic little bit slow sir,not_applicable,ORR North 1,High,,,,2024-03-07 19:20:02.091296+00:00,Hennuru,,,Unknown,Unknown,Unknown
unplanned,12.9233517,77.5904883,12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,False,2024-03-07 19:39:29.764000+00:00,closed,yes,2024-03-08 00:32:50.465117+00:00,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,not_applicable,Non-corridor,Low,,,,2024-03-07 19:44:04.840279+00:00,Jayanagara,2024-03-08 00:32:50.464450+00:00,,Unknown,Unknown,Unknown
unplanned,13.0001393,77.5840594,13.0001393,77.5840594,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",vehicle_breakdown,False,2024-01-30 04:49:17.231000+00:00,closed,yes,2024-01-30 07:35:47.924053+00:00,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,Bellary Road 1,High,,,,2024-01-30 04:51:12.899255+00:00,Sadashivanagar,,,Unknown,Unknown,Unknown
unplanned,12.9071221,77.6286395,12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,closed,no,2024-03-07 19:52:19.227656+00:00,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,Hosur Road,High,,,,2024-03-07 19:27:14.960257+00:00,Madiwala,2024-03-07 19:52:19.227138+00:00,,Unknown,Unknown,Unknown
unplanned,12.927375,77.5806883,12.9273528,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,True,2024-03-07 19:45:16.034000+00:00,closed,yes,2024-03-09 20:33:47.283363+00:00,,not_applicable,Non-corridor,Low,,,,2024-03-07 19:47:58.459881+00:00,Jayanagara,2024-03-09 20:33:47.282786+00:00,,Unknown,Unknown,Unknown
unplanned,12.9169074,77.5950955,12.9169074,77.5950955,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",pot_holes,False,2024-01-05 22:35:41.185000+00:00,closed,yes,2024-03-07 19:48:05.331866+00:00,,not_applicable,Non-corridor,Low,,,,2024-01-05 22:36:57.627179+00:00,Jayanagara,2024-03-07 19:48:05.331210+00:00,,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc
unplanned,12.9667047,77.6615983,12.9667047,77.6615983,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:32:47.117000+00:00,active,yes,2024-01-30 08:47:37.169905+00:00,A,not_applicable,Unknown,Low,,,,2024-01-30 08:33:47.540206+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
unplanned,12.8966387,77.7202071,12.8966387,77.7202071,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",water_logging,False,2024-03-07 19:55:24.461000+00:00,active,yes,2024-03-07 20:06:27.230358+00:00,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,not_applicable,Non-corridor,Low,,,,2024-03-07 19:59:11.246383+00:00,Whitefield,,,Unknown,Unknown,Unknown
unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361000+00:00,closed,no,2024-03-07 20:12:38.803050+00:00,no,not_applicable,Non-corridor,Low,,,,2024-03-07 06:10:16.176379+00:00,Wilson Garden,2024-03-07 20:12:38.802518+00:00,,Unknown,Unknown,Unknown
unplanned,12.9856042,77.5977438,12.9856042,77.5977438,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",pot_holes,False,2024-01-30 08:35:04.399000+00:00,active,yes,2024-01-30 08:46:04.959405+00:00,Chamber hole,not_applicable,Unknown,High,,,,2024-01-30 08:35:50.025285+00:00,Shivajinagar,,,Unknown,Unknown,Unknown
unplanned,12.9077383,77.6005709,12.9077383,77.6005709,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 08:12:47.138000+00:00,closed,yes,2024-01-30 10:35:47.849552+00:00,Bmtc bus offload due to gear box problem,bmtc_bus,Bannerghata Road,High,,,,2024-01-30 08:14:16.420314+00:00,Mico Layout,,,Unknown,Unknown,Unknown
unplanned,12.9635109,77.6642122,12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",pot_holes,False,2024-01-30 08:25:57.212000+00:00,closed,yes,2024-01-30 08:35:01.999200+00:00,A,not_applicable,Unknown,Low,,,,2024-01-30 08:28:51.106311+00:00,HAL Old Airport,2024-01-30 08:35:01.998607+00:00,,Unknown,Unknown,Unknown
unplanned,12.9667073,77.6615616,12.9667073,77.6615616,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:31:37.367000+00:00,active,yes,2024-01-30 08:33:45.400802+00:00,A,not_applicable,Unknown,Low,,,,2024-01-30 08:32:13.484988+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
unplanned,12.9666867,77.6616478,12.9666867,77.6616478,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:33:55.212000+00:00,active,yes,2024-01-30 08:47:01.481646+00:00,,not_applicable,Non-corridor,Low,,,,2024-01-30 08:34:48.349991+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
unplanned,12.907814,77.6006561,12.9075245,77.6003865,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,True,2024-01-30 08:08:05.581000+00:00,closed,yes,2024-01-30 10:35:47.874570+00:00,GD mara to [PERSON],bmtc_bus,Bannerghata Road,High,,,,2024-01-30 08:11:01.608180+00:00,Mico Layout,,,Unknown,Unknown,Unknown
unplanned,12.8955737,77.5993711,12.8955737,77.5993711,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 05:43:18.534000+00:00,closed,yes,2024-01-30 08:35:47.752866+00:00,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,Bannerghata Road,High,,,,2024-01-30 05:44:59.860926+00:00,J.P. Nagar,,,Unknown,Unknown,Unknown
unplanned,12.92757,77.5832051,12.92757,77.5832051,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,False,2024-03-07 20:06:03.523000+00:00,closed,yes,2024-03-09 20:33:44.935916+00:00,,not_applicable,Non-corridor,Low,,,,2024-03-07 20:06:37.915099+00:00,Jayanagara,2024-03-09 20:33:44.935343+00:00,,Unknown,Unknown,Unknown
unplanned,13.044697,77.5828546,13.044697,77.5828546,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",congestion,False,2024-01-30 05:38:15.485000+00:00,closed,no,2024-01-30 08:35:47.778254+00:00,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,not_applicable,ORR North 2,High,,,,2024-01-30 05:39:28.665706+00:00,Kodigehalli,,,Unknown,Unknown,Unknown
unplanned,12.9666885,77.6616396,12.9666885,77.6616396,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:35:57.672000+00:00,active,yes,2024-01-30 08:44:26.910097+00:00,A,not_applicable,Unknown,Low,,,,2024-01-30 08:36:54.308956+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
unplanned,12.9789228,77.5644032,12.9789228,77.5644032,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",vehicle_breakdown,False,2024-03-07 20:17:50.952000+00:00,closed,yes,2024-03-07 22:35:48.225065+00:00,traffic normal sir.,bmtc_bus,Magadi Road,High,,,,2024-03-07 20:19:21.251912+00:00,Magadi Road,,,Unknown,Unknown,Unknown
unplanned,12.8636494,77.6725849,12.8636494,77.6725849,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",accident,False,2024-01-30 03:52:59.126038+00:00,closed,yes,2024-01-30 09:35:47.939277+00:00,,not_applicable,Non-corridor,Low,,,,2024-01-30 08:53:47.147922+00:00,Electronic City,,,Unknown,Unknown,Unknown
unplanned,12.9219483,77.6002467,12.9219483,77.6002467,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",vehicle_breakdown,False,2024-01-30 15:15:10.139000+00:00,closed,yes,2024-01-30 17:35:48.089355+00:00,One garage vehical stopped on road due to break down,heavy_vehicle,Bannerghata Road,High,,,,2024-01-30 15:18:28.719881+00:00,Mico Layout,,,Unknown,Unknown,Unknown
unplanned,12.9666597,77.661556,12.9666597,77.661556,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:37:16.322000+00:00,active,yes,2024-01-30 08:43:58.647514+00:00,Pc18977,not_applicable,Unknown,Low,,,,2024-01-30 08:40:15.935486+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
planned,12.946469,77.6986754,12.946469,77.6986754,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-01-30 11:31:12.848000+00:00,closed,no,2024-01-30 11:35:47.865142+00:00,[LOCATION] works going on sir,not_applicable,ORR East 1,High,,,,2024-01-30 11:32:15.765069+00:00,HAL Old Airport,,,Unknown,Unknown,Unknown
unplanned,12.9936273,77.5844677,12.9934867,77.584375,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.140000+00:00,closed,yes,2024-03-07 22:06:56.289580+00:00,Near cm office [PERSON] towards B02 junction sir,not_applicable,Bellary Road 1,High,,,,2024-03-07 20:23:59.617800+00:00,High ground,2024-03-07 22:06:56.289070+00:00,,Unknown,Unknown,Unknown
unplanned,12.9465079,77.6986339,12.9465079,77.6986339,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",vehicle_breakdown,False,2024-01-30 20:38:19.329000+00:00,closed,yes,2024-01-30 23:35:47.648175+00:00,Biriyani zone [PERSON] on [LOCATION] off road,bmtc_bus,ORR East 1,High,,,,2024-01-30 20:40:06.042986+00:00,HAL Old Airport,,,Unknown,Unknown,Unknown
unplanned,13.0467058,77.5036495,13.0467058,77.5036495,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",vehicle_breakdown,False,2024-03-07 18:29:50.857000+00:00,closed,yes,2024-03-07 20:35:47.751423+00:00,,lcv,Non-corridor,Low,,,,2024-03-07 18:31:53.902977+00:00,Chikkabanavara,,,Unknown,Unknown,Unknown
unplanned,13.0166142,77.5054464,13.0166142,77.5054464,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2023-12-28 06:06:26.375000+00:00,closed,no,2024-01-30 21:21:59.625317+00:00,BMTC off road on 14th cross towards NTTF traffic one side movement,bmtc_bus,Non-corridor,Low,,,,2023-12-28 06:07:50.737435+00:00,Peenya,,,Bengaluru West Corporation,West Zone 1,Peenya14thCrossJunc
planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303000+00:00,closed,yes,2024-01-30 21:35:48.130423+00:00,,not_applicable,Non-corridor,Low,,,,2024-01-30 21:21:41.722681+00:00,K.G. Halli,,,Unknown,Unknown,Unknown
unplanned,13.0309717,77.5364661,13.0309717,77.5364661,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2024-01-30 19:33:25.417000+00:00,closed,yes,2024-01-30 21:35:48.087938+00:00,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,lcv,Tumkur Road,High,,,,2024-01-30 19:35:20.337586+00:00,Yeshwanthpura,,,Unknown,Unknown,Unknown
unplanned,13.0262806,77.5442344,13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",others,False,2024-03-07 20:27:15.443000+00:00,closed,yes,2024-03-07 22:40:47.233521+00:00,mei signal off due to power Problem,not_applicable,Tumkur Road,High,,,,2024-03-07 20:29:28.845390+00:00,Yeshwanthpura,2024-03-07 22:40:47.232952+00:00,,Unknown,Unknown,Unknown
unplanned,12.9938639,77.5844374,12.9938639,77.5844374,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:41:41.999000+00:00,closed,yes,2024-03-09 03:11:00.033099+00:00,,not_applicable,Bellary Road 1,High,,,,2024-03-07 20:42:35.482807+00:00,High ground,2024-03-09 03:11:00.032388+00:00,,Unknown,Unknown,Unknown
unplanned,12.9188682,77.6687736,12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 21:27:52.454000+00:00,closed,yes,2024-01-30 22:23:24.958236+00:00,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,ORR East 1,High,,,,2024-01-30 21:29:36.526728+00:00,Bellandur,2024-01-30 22:23:24.957711+00:00,,Unknown,Unknown,Unknown
unplanned,12.9546127,77.6423399,12.9546127,77.6423399,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",congestion,False,2024-01-30 20:46:34.356000+00:00,closed,no,2024-01-30 23:35:47.661741+00:00,,not_applicable,IRR(Thanisandra road),High,,,,2024-01-30 20:46:56.603762+00:00,Jeevanbheemanagar,,,Unknown,Unknown,Unknown
unplanned,12.936133,77.5187044,12.936133,77.5187044,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 21:13:55.445000+00:00,closed,yes,2024-01-30 23:35:47.674176+00:00,,lcv,Mysore Road,High,,,,2024-01-30 21:16:43.603052+00:00,Byatarayanapura,,,Unknown,Unknown,Unknown
planned,12.9694079,77.7006346,12.9694079,77.7006346,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-01-30 20:56:01.732000+00:00,closed,yes,2024-01-31 09:35:47.797656+00:00,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,not_applicable,ORR East 2,High,,,,2024-01-30 20:56:43.100304+00:00,HAL Old Airport,,,Unknown,Unknown,Unknown
unplanned,12.9849833,77.5883633,12.9849833,77.5883633,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,2024-01-30 21:47:40.463000+00:00,closed,yes,2024-01-30 22:57:00.256145+00:00,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,Bellary Road 1,High,,,,2024-01-30 21:51:46.251707+00:00,High ground,2024-01-30 22:57:00.255562+00:00,,Unknown,Unknown,Unknown
unplanned,13.0127301,77.5545135,13.0127301,77.5545135,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2024-03-07 20:42:57.607000+00:00,closed,yes,2024-03-07 23:35:48.209463+00:00,,truck,West of Chord Road,High,goods,clutch plate problem,2021.0,2024-03-07 20:45:17.862935+00:00,Malleshwaram,,,Unknown,Unknown,Unknown
unplanned,12.9842019,77.7336286,12.9842019,77.7336286,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",road_conditions,False,2024-01-30 21:54:56.083000+00:00,closed,yes,2024-01-30 22:56:12.701767+00:00,,not_applicable,Non-corridor,Low,,,,2024-01-30 21:55:49.646644+00:00,Whitefield,2024-01-30 22:56:12.701247+00:00,,Unknown,Unknown,Unknown
unplanned,13.2644465,77.7187627,13.2645358,77.7187849,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",vehicle_breakdown,True,2024-01-30 19:36:33.702000+00:00,closed,yes,2024-01-30 22:35:47.912761+00:00,HGV breakdown hagide sir,heavy_vehicle,Non-corridor,Low,,,,2024-01-30 19:38:18.682995+00:00,Devanahalli Airport,,,Unknown,Unknown,Unknown
